tract_geoid,first_year_shootings,last_year_shootings,total_shootings,avg_annual,recent_avg,change,pct_change,is_emerging,is_improving
42101000101,1,0,6,0.5454545454545454,0.6666666666666666,-1,-100.0,False,False
42101000102,0,1,1,0.09090909090909091,0.3333333333333333,1,100.0,False,False
42101000200,1,1,13,1.1818181818181819,1.0,0,0.0,False,False
42101000300,1,1,3,0.2727272727272727,0.3333333333333333,0,0.0,False,False
42101000401,0,0,1,0.09090909090909091,0.3333333333333333,0,0.0,False,False
42101000403,0,1,16,1.4545454545454546,1.3333333333333333,1,100.0,False,False
42101000404,0,0,2,0.18181818181818182,0.0,0,0.0,False,False
42101000500,0,1,15,1.3636363636363635,3.0,1,100.0,False,False
42101000600,2,1,13,1.1818181818181819,2.0,-1,-50.0,False,False
42101000701,0,2,8,0.7272727272727273,0.6666666666666666,2,100.0,False,False
42101000702,0,0,1,0.09090909090909091,0.0,0,0.0,False,False
42101000803,0,0,1,0.09090909090909091,0.3333333333333333,0,0.0,False,False
42101000806,0,0,6,0.5454545454545454,1.3333333333333333,0,0.0,False,False
42101000901,0,3,11,1.0,1.0,3,100.0,False,False
42101001002,1,1,10,0.9090909090909091,1.0,0,0.0,False,False
42101001101,0,0,6,0.5454545454545454,0.3333333333333333,0,0.0,False,False
42101001102,0,0,1,0.09090909090909091,0.3333333333333333,0,0.0,False,False
42101001201,0,0,1,0.09090909090909091,0.3333333333333333,0,0.0,False,False
42101001204,0,1,4,0.36363636363636365,1.0,1,100.0,False,False
42101001301,1,0,4,0.36363636363636365,0.0,-1,-100.0,False,False
42101001302,1,0,11,1.0,0.0,-1,-100.0,False,False
42101001400,0,0,2,0.18181818181818182,0.0,0,0.0,False,False
42101001500,4,0,23,2.090909090909091,1.0,-4,-100.0,False,False
42101001600,1,1,27,2.4545454545454546,0.3333333333333333,0,0.0,False,False
42101001700,0,0,3,0.2727272727272727,0.6666666666666666,0,0.0,False,False
42101001800,0,0,12,1.0909090909090908,0.6666666666666666,0,0.0,False,False
42101001900,0,1,12,1.0909090909090908,1.0,1,100.0,False,False
42101002000,2,1,22,2.0,1.3333333333333333,-1,-50.0,False,False
42101002100,3,1,14,1.2727272727272727,1.0,-2,-66.7,False,False
42101002200,4,0,20,1.8181818181818181,1.0,-4,-100.0,False,False
42101002300,1,0,2,0.18181818181818182,0.0,-1,-100.0,False,False
42101002400,1,8,21,1.9090909090909092,3.6666666666666665,7,700.0,False,False
42101002500,5,1,38,3.4545454545454546,3.0,-4,-80.0,False,False
42101002701,1,3,23,2.090909090909091,2.0,2,200.0,False,False
42101002702,2,0,9,0.8181818181818182,0.0,-2,-100.0,False,False
42101002801,2,2,12,1.0909090909090908,1.0,0,0.0,False,False
42101002802,0,0,5,0.45454545454545453,0.0,0,0.0,False,False
42101002900,0,1,2,0.18181818181818182,0.3333333333333333,1,100.0,False,False
42101003001,0,1,6,0.5454545454545454,1.0,1,100.0,False,False
42101003002,2,0,17,1.5454545454545454,0.3333333333333333,-2,-100.0,False,False
42101003100,10,1,69,6.2727272727272725,2.3333333333333335,-9,-90.0,False,True
42101003200,6,5,108,9.818181818181818,8.0,-1,-16.7,False,False
42101003300,15,16,137,12.454545454545455,12.0,1,6.7,False,False
42101003600,14,2,144,13.090909090909092,5.333333333333333,-12,-85.7,False,True
42101003701,4,3,66,6.0,3.6666666666666665,-1,-25.0,False,False
42101003702,0,3,33,3.0,2.6666666666666665,3,100.0,False,False
42101003800,0,2,7,0.6363636363636364,0.6666666666666666,2,100.0,False,False
42101003901,0,0,18,1.6363636363636365,1.3333333333333333,0,0.0,False,False
42101003902,2,0,9,0.8181818181818182,0.3333333333333333,-2,-100.0,False,False
42101004001,0,0,7,0.6363636363636364,1.3333333333333333,0,0.0,False,False
42101004002,1,0,12,1.0909090909090908,1.0,-1,-100.0,False,False
42101004101,3,5,51,4.636363636363637,5.666666666666667,2,66.7,False,False
42101004103,3,0,24,2.1818181818181817,1.3333333333333333,-3,-100.0,False,False
42101004104,0,1,14,1.2727272727272727,2.0,1,100.0,False,False
42101004201,0,0,3,0.2727272727272727,0.0,0,0.0,False,False
42101004202,0,1,8,0.7272727272727273,0.3333333333333333,1,100.0,False,False
42101005400,0,0,6,0.5454545454545454,0.0,0,0.0,False,False
42101005500,2,2,31,2.8181818181818183,1.6666666666666667,0,0.0,False,False
42101005600,0,0,15,1.3636363636363635,0.6666666666666666,0,0.0,False,False
42101006000,3,7,61,5.545454545454546,7.333333333333333,4,133.3,False,False
42101006100,3,2,48,4.363636363636363,2.3333333333333335,-1,-33.3,False,False
42101006200,7,2,64,5.818181818181818,2.3333333333333335,-5,-71.4,False,False
42101006300,4,5,89,8.090909090909092,5.666666666666667,1,25.0,False,False
42101006400,3,0,51,4.636363636363637,0.3333333333333333,-3,-100.0,False,False
42101006500,6,8,123,11.181818181818182,10.0,2,33.3,False,False
42101006600,6,10,110,10.0,8.0,4,66.7,False,False
42101006700,9,2,108,9.818181818181818,9.666666666666666,-7,-77.8,False,False
42101007000,8,7,76,6.909090909090909,3.6666666666666665,-1,-12.5,False,False
42101007101,5,3,83,7.545454545454546,8.0,-2,-40.0,False,False
42101007102,9,2,85,7.7272727272727275,3.6666666666666665,-7,-77.8,False,False
42101007200,11,5,100,9.090909090909092,7.666666666666667,-6,-54.5,False,False
42101007300,1,2,44,4.0,3.3333333333333335,1,100.0,False,False
42101007400,5,3,87,7.909090909090909,2.3333333333333335,-2,-40.0,False,False
42101007700,0,0,6,0.5454545454545454,0.6666666666666666,0,0.0,False,False
42101007800,1,0,10,0.9090909090909091,0.6666666666666666,-1,-100.0,False,False
42101007900,0,0,8,0.7272727272727273,0.6666666666666666,0,0.0,False,False
42101008000,8,2,78,7.090909090909091,3.6666666666666665,-6,-75.0,False,False
42101008101,3,7,58,5.2727272727272725,5.0,4,133.3,False,False
42101008102,6,8,66,6.0,4.333333333333333,2,33.3,False,False
42101008200,5,8,94,8.545454545454545,8.0,3,60.0,False,False
42101008301,7,2,55,5.0,2.6666666666666665,-5,-71.4,False,False
42101008302,11,13,149,13.545454545454545,14.0,2,18.2,False,False
42101008400,3,3,73,6.636363636363637,6.0,0,0.0,False,False
42101008500,17,6,143,13.0,11.333333333333334,-11,-64.7,False,False
42101008601,2,0,14,1.2727272727272727,0.6666666666666666,-2,-100.0,False,False
42101008602,4,1,30,2.727272727272727,0.3333333333333333,-3,-75.0,False,False
42101008701,0,0,1,0.09090909090909091,0.0,0,0.0,False,False
42101008702,0,0,1,0.09090909090909091,0.0,0,0.0,False,False
42101008801,0,0,4,0.36363636363636365,0.3333333333333333,0,0.0,False,False
42101008802,0,1,9,0.8181818181818182,1.3333333333333333,1,100.0,False,False
42101009000,0,0,5,0.45454545454545453,0.0,0,0.0,False,False
42101009100,1,2,39,3.5454545454545454,4.0,1,100.0,False,False
42101009200,2,0,31,2.8181818181818183,0.0,-2,-100.0,False,False
42101009300,10,9,144,13.090909090909092,13.666666666666666,-1,-10.0,False,False
42101009400,10,5,115,10.454545454545455,7.666666666666667,-5,-50.0,False,False
42101009500,8,3,83,7.545454545454546,6.666666666666667,-5,-62.5,False,False
42101009600,3,10,129,11.727272727272727,10.666666666666666,7,233.3,True,False
42101009801,2,0,8,0.7272727272727273,0.0,-2,-100.0,False,False
42101009802,1,1,25,2.272727272727273,1.0,0,0.0,False,False
42101010000,3,2,34,3.090909090909091,3.3333333333333335,-1,-33.3,False,False
42101010100,7,4,78,7.090909090909091,4.0,-3,-42.9,False,False
42101010200,5,5,99,9.0,4.333333333333333,0,0.0,False,False
42101010300,6,4,99,9.0,11.333333333333334,-2,-33.3,False,False
42101010400,7,3,83,7.545454545454546,5.333333333333333,-4,-57.1,False,False
42101010500,7,6,79,7.181818181818182,3.6666666666666665,-1,-14.3,False,False
42101010600,2,2,59,5.363636363636363,5.666666666666667,0,0.0,False,False
42101010700,17,8,108,9.818181818181818,8.666666666666666,-9,-52.9,False,False
42101010800,6,10,124,11.272727272727273,10.0,4,66.7,False,False
42101010900,2,0,42,3.8181818181818183,2.3333333333333335,-2,-100.0,False,False
42101011000,4,8,89,8.090909090909092,7.666666666666667,4,100.0,False,False
42101011100,7,3,105,9.545454545454545,6.666666666666667,-4,-57.1,False,False
42101011200,4,3,119,10.818181818181818,11.666666666666666,-1,-25.0,True,False
42101011300,4,1,49,4.454545454545454,3.0,-3,-75.0,False,False
42101011400,5,3,68,6.181818181818182,4.333333333333333,-2,-40.0,False,False
42101011500,8,3,50,4.545454545454546,3.0,-5,-62.5,False,False
42101011700,0,0,3,0.2727272727272727,0.0,0,0.0,False,False
42101011800,5,1,42,3.8181818181818183,3.3333333333333335,-4,-80.0,False,False
42101011900,8,1,66,6.0,6.0,-7,-87.5,False,False
42101012000,0,0,5,0.45454545454545453,0.0,0,0.0,False,False
42101012100,0,0,1,0.09090909090909091,0.3333333333333333,0,0.0,False,False
42101012201,0,1,1,0.09090909090909091,0.3333333333333333,1,100.0,False,False
42101012203,0,1,12,1.0909090909090908,0.6666666666666666,1,100.0,False,False
42101012204,0,1,4,0.36363636363636365,0.6666666666666666,1,100.0,False,False
42101012501,0,1,3,0.2727272727272727,0.3333333333333333,1,100.0,False,False
42101012502,0,2,4,0.36363636363636365,0.6666666666666666,2,100.0,False,False
42101013100,4,1,59,5.363636363636363,3.6666666666666665,-3,-75.0,False,False
42101013200,5,2,49,4.454545454545454,3.3333333333333335,-3,-60.0,False,False
42101013300,1,0,19,1.7272727272727273,0.6666666666666666,-1,-100.0,False,False
42101013402,0,1,12,1.0909090909090908,1.0,1,100.0,False,False
42101013500,0,0,7,0.6363636363636364,0.0,0,0.0,False,False
42101013601,0,0,3,0.2727272727272727,0.3333333333333333,0,0.0,False,False
42101013602,0,0,3,0.2727272727272727,0.3333333333333333,0,0.0,False,False
42101013701,2,0,9,0.8181818181818182,0.0,-2,-100.0,False,False
42101013702,5,0,48,4.363636363636363,3.3333333333333335,-5,-100.0,False,False
42101013800,7,0,34,3.090909090909091,2.0,-7,-100.0,False,False
42101013900,2,0,49,4.454545454545454,1.3333333333333333,-2,-100.0,False,False
42101014000,4,4,43,3.909090909090909,2.3333333333333335,0,0.0,False,False
42101014100,6,2,78,7.090909090909091,7.333333333333333,-4,-66.7,False,False
42101014201,1,0,5,0.45454545454545453,0.0,-1,-100.0,False,False
42101014202,2,1,18,1.6363636363636365,1.6666666666666667,-1,-50.0,False,False
42101014300,0,0,14,1.2727272727272727,0.0,0,0.0,False,False
42101014400,4,1,18,1.6363636363636365,1.3333333333333333,-3,-75.0,False,False
42101014500,1,2,19,1.7272727272727273,2.0,1,100.0,False,False
42101014600,2,2,36,3.272727272727273,3.6666666666666665,0,0.0,False,False
42101014700,1,13,84,7.636363636363637,9.666666666666666,12,1200.0,False,False
42101014800,0,1,52,4.7272727272727275,3.0,1,100.0,False,False
42101014900,11,6,157,14.272727272727273,7.333333333333333,-5,-45.5,False,True
42101015101,6,2,52,4.7272727272727275,3.3333333333333335,-4,-66.7,False,False
42101015102,7,6,153,13.909090909090908,13.333333333333334,-1,-14.3,False,False
42101015200,15,11,207,18.818181818181817,14.666666666666666,-4,-26.7,False,False
42101015300,3,4,73,6.636363636363637,5.333333333333333,1,33.3,False,False
42101015600,2,0,26,2.3636363636363638,2.0,-2,-100.0,False,False
42101015700,1,0,12,1.0909090909090908,0.6666666666666666,-1,-100.0,False,False
42101016001,1,1,8,0.7272727272727273,1.3333333333333333,0,0.0,False,False
42101016002,1,1,8,0.7272727272727273,1.0,0,0.0,False,False
42101016100,5,1,33,3.0,1.6666666666666667,-4,-80.0,False,False
42101016200,6,1,44,4.0,2.3333333333333335,-5,-83.3,False,False
42101016300,6,8,88,8.0,7.333333333333333,2,33.3,False,False
42101016400,21,10,146,13.272727272727273,13.333333333333334,-11,-52.4,False,False
42101016500,8,9,122,11.090909090909092,11.666666666666666,1,12.5,False,False
42101016600,6,2,54,4.909090909090909,2.3333333333333335,-4,-66.7,False,False
42101016701,7,8,142,12.909090909090908,9.333333333333334,1,14.3,False,False
42101016702,6,7,133,12.090909090909092,11.666666666666666,1,16.7,False,False
42101016800,14,8,140,12.727272727272727,7.666666666666667,-6,-42.9,False,True
42101016901,16,9,155,14.090909090909092,11.333333333333334,-7,-43.8,False,False
42101016902,9,14,164,14.909090909090908,14.666666666666666,5,55.6,False,False
42101017000,1,4,55,5.0,4.0,3,300.0,False,False
42101017100,7,5,75,6.818181818181818,4.0,-2,-28.6,False,False
42101017201,7,11,127,11.545454545454545,10.0,4,57.1,False,False
42101017202,15,5,140,12.727272727272727,9.666666666666666,-10,-66.7,False,False
42101017300,9,9,129,11.727272727272727,9.0,0,0.0,False,False
42101017400,9,4,110,10.0,4.333333333333333,-5,-55.6,False,False
42101017500,13,12,260,23.636363636363637,19.0,-1,-7.7,False,False
42101017601,26,15,293,26.636363636363637,20.333333333333332,-11,-42.3,False,False
42101017602,18,6,240,21.818181818181817,7.333333333333333,-12,-66.7,False,True
42101017701,16,10,329,29.90909090909091,16.0,-6,-37.5,False,True
42101017702,35,9,248,22.545454545454547,15.0,-26,-74.3,False,True
42101017800,22,13,371,33.72727272727273,24.333333333333332,-9,-40.9,False,False
42101017900,10,2,78,7.090909090909091,5.0,-8,-80.0,False,False
42101018001,0,0,3,0.2727272727272727,0.3333333333333333,0,0.0,False,False
42101018002,0,2,18,1.6363636363636365,2.0,2,100.0,False,False
42101018300,1,1,6,0.5454545454545454,0.6666666666666666,0,0.0,False,False
42101018400,0,0,2,0.18181818181818182,0.0,0,0.0,False,False
42101018801,14,3,105,9.545454545454545,5.666666666666667,-11,-78.6,False,True
42101018802,6,4,92,8.363636363636363,3.6666666666666665,-2,-33.3,False,False
42101019000,3,4,82,7.454545454545454,4.666666666666667,1,33.3,False,False
42101019100,3,3,59,5.363636363636363,4.333333333333333,0,0.0,False,False
42101019200,12,9,162,14.727272727272727,11.333333333333334,-3,-25.0,False,False
42101019501,7,4,129,11.727272727272727,10.333333333333334,-3,-42.9,False,False
42101019502,0,4,54,4.909090909090909,3.6666666666666665,4,100.0,False,False
42101019700,7,4,126,11.454545454545455,7.666666666666667,-3,-42.9,False,False
42101019800,8,7,150,13.636363636363637,9.666666666666666,-1,-12.5,False,False
