GEOID,scenario,base_class,scenario_class,base_time,scenario_time,became_desert,left_desert,shootings,population
42101016100,off_peak,5,4,10,10.0,False,False,33,6125
42101016100,morning_rush,5,4,10,14.0,False,False,33,6125
42101016100,evening_rush,5,4,10,15.0,False,False,33,6125
42101016100,overnight,5,4,10,9.0,False,False,33,6125
42101039001,off_peak,5,4,10,10.0,False,False,42,4047
42101039001,morning_rush,5,4,10,14.0,False,False,42,4047
42101039001,evening_rush,5,4,10,15.0,False,False,42,4047
42101039001,overnight,5,4,10,9.0,False,False,42,4047
42101016002,off_peak,5,4,10,10.0,False,False,8,4404
42101016002,morning_rush,5,4,10,14.0,False,False,8,4404
42101016002,evening_rush,5,4,10,15.0,False,False,8,4404
42101016002,overnight,5,4,10,9.0,False,False,8,4404
42101016001,off_peak,5,4,10,10.0,False,False,8,2585
42101016001,morning_rush,5,4,10,14.0,False,False,8,2585
42101016001,evening_rush,5,4,10,15.0,False,False,8,2585
42101016001,overnight,5,4,10,9.0,False,False,8,2585
42101039002,off_peak,5,4,10,10.0,False,False,54,4685
42101039002,morning_rush,5,4,10,14.0,False,False,54,4685
42101039002,evening_rush,5,4,10,15.0,False,False,54,4685
42101039002,overnight,5,4,10,9.0,False,False,54,4685
42101018801,off_peak,8,7,10,10.0,False,False,105,3794
42101018801,morning_rush,8,7,10,14.0,False,False,105,3794
42101018801,evening_rush,8,7,10,15.0,False,False,105,3794
42101018801,overnight,8,7,10,9.0,False,False,105,3794
42101004104,off_peak,5,4,10,10.0,False,False,14,3697
42101004104,morning_rush,5,4,10,14.0,False,False,14,3697
42101004104,evening_rush,5,4,10,15.0,False,False,14,3697
42101004104,overnight,5,4,10,9.0,False,False,14,3697
42101004103,off_peak,8,7,10,10.0,False,False,24,5000
42101004103,morning_rush,8,7,10,14.0,False,False,24,5000
42101004103,evening_rush,8,7,10,15.0,False,False,24,5000
42101004103,overnight,8,7,10,9.0,False,False,24,5000
42101980001,off_peak,5,4,10,10.0,False,False,44,0
42101980001,morning_rush,5,4,10,14.0,False,False,44,0
42101980001,evening_rush,5,4,10,15.0,False,False,44,0
42101980001,overnight,5,4,10,9.0,False,False,44,0
42101012502,off_peak,2,1,10,10.0,False,False,4,3743
42101012502,morning_rush,2,1,10,14.0,False,False,4,3743
42101012502,evening_rush,2,1,10,15.0,False,False,4,3743
42101012502,overnight,2,1,10,9.0,False,False,4,3743
42101020702,off_peak,2,1,10,10.0,False,False,3,2095
42101020702,morning_rush,2,1,10,14.0,False,False,3,2095
42101020702,evening_rush,2,1,10,15.0,False,False,3,2095
42101020702,overnight,2,1,10,9.0,False,False,3,2095
42101013702,off_peak,8,7,10,10.0,False,False,48,4189
42101013702,morning_rush,8,7,10,14.0,False,False,48,4189
42101013702,evening_rush,8,7,10,15.0,False,False,48,4189
42101013702,overnight,8,7,10,9.0,False,False,48,4189
42101020701,off_peak,2,1,10,10.0,False,False,8,4309
42101020701,morning_rush,2,1,10,14.0,False,False,8,4309
42101020701,evening_rush,2,1,10,15.0,False,False,8,4309
42101020701,overnight,2,1,10,9.0,False,False,8,4309
42101018802,off_peak,8,7,10,10.0,False,False,92,4262
42101018802,morning_rush,8,7,10,14.0,False,False,92,4262
42101018802,evening_rush,8,7,10,15.0,False,False,92,4262
42101018802,overnight,8,7,10,9.0,False,False,92,4262
42101014201,off_peak,5,4,10,10.0,False,False,5,3295
42101014201,morning_rush,5,4,10,14.0,False,False,5,3295
42101014201,evening_rush,5,4,10,15.0,False,False,5,3295
42101014201,overnight,5,4,10,9.0,False,False,5,3295
42101014202,off_peak,5,4,10,10.0,False,False,18,2273
42101014202,morning_rush,5,4,10,14.0,False,False,18,2273
42101014202,evening_rush,5,4,10,15.0,False,False,18,2273
42101014202,overnight,5,4,10,9.0,False,False,18,2273
42101980002,off_peak,2,1,10,10.0,False,False,18,0
42101980002,morning_rush,2,1,10,14.0,False,False,18,0
42101980002,evening_rush,2,1,10,15.0,False,False,18,0
42101980002,overnight,2,1,10,9.0,False,False,18,0
42101016901,off_peak,8,7,10,10.0,False,False,155,3356
42101016901,morning_rush,8,7,10,14.0,False,False,155,3356
42101016901,evening_rush,8,7,10,15.0,False,False,155,3356
42101016901,overnight,8,7,10,9.0,False,False,155,3356
42101017000,off_peak,5,4,10,10.0,False,False,55,3008
42101017000,morning_rush,5,4,10,14.0,False,False,55,3008
42101017000,evening_rush,5,4,10,15.0,False,False,55,3008
42101017000,overnight,5,4,10,9.0,False,False,55,3008
42101028901,off_peak,8,7,10,10.0,False,False,62,4015
42101028901,morning_rush,8,7,10,14.0,False,False,62,4015
42101028901,evening_rush,8,7,10,15.0,False,False,62,4015
42101028901,overnight,8,7,10,9.0,False,False,62,4015
42101024000,off_peak,5,4,10,10.0,False,False,29,4009
42101024000,morning_rush,5,4,10,14.0,False,False,29,4009
42101024000,evening_rush,5,4,10,15.0,False,False,29,4009
42101024000,overnight,5,4,10,9.0,False,False,29,4009
42101024100,off_peak,5,4,10,10.0,False,False,23,1401
42101024100,morning_rush,5,4,10,14.0,False,False,23,1401
42101024100,evening_rush,5,4,10,15.0,False,False,23,1401
42101024100,overnight,5,4,10,9.0,False,False,23,1401
42101024600,off_peak,5,4,10,10.0,False,False,46,2552
42101024600,morning_rush,5,4,10,14.0,False,False,46,2552
42101024600,evening_rush,5,4,10,15.0,False,False,46,2552
42101024600,overnight,5,4,10,9.0,False,False,46,2552
42101014900,off_peak,8,7,10,10.0,False,False,157,4318
42101014900,morning_rush,8,7,10,14.0,False,False,157,4318
42101014900,evening_rush,8,7,10,15.0,False,False,157,4318
42101014900,overnight,8,7,10,9.0,False,False,157,4318
42101014700,off_peak,8,7,10,10.0,False,False,84,3311
42101014700,morning_rush,8,7,10,14.0,False,False,84,3311
42101014700,evening_rush,8,7,10,15.0,False,False,84,3311
42101014700,overnight,8,7,10,9.0,False,False,84,3311
42101014800,off_peak,8,7,10,10.0,False,False,52,898
42101014800,morning_rush,8,7,10,14.0,False,False,52,898
42101014800,evening_rush,8,7,10,15.0,False,False,52,898
42101014800,overnight,8,7,10,9.0,False,False,52,898
42101024200,off_peak,8,7,10,10.0,False,False,82,4595
42101024200,morning_rush,8,7,10,14.0,False,False,82,4595
42101024200,evening_rush,8,7,10,15.0,False,False,82,4595
42101024200,overnight,8,7,10,9.0,False,False,82,4595
42101024300,off_peak,5,4,10,10.0,False,False,25,4204
42101024300,morning_rush,5,4,10,14.0,False,False,25,4204
42101024300,evening_rush,5,4,10,15.0,False,False,25,4204
42101024300,overnight,5,4,10,9.0,False,False,25,4204
42101024500,off_peak,8,7,10,10.0,False,False,107,4904
42101024500,morning_rush,8,7,10,14.0,False,False,107,4904
42101024500,evening_rush,8,7,10,15.0,False,False,107,4904
42101024500,overnight,8,7,10,9.0,False,False,107,4904
42101024700,off_peak,8,7,10,10.0,False,False,101,4291
42101024700,morning_rush,8,7,10,14.0,False,False,101,4291
42101024700,evening_rush,8,7,10,15.0,False,False,101,4291
42101024700,overnight,8,7,10,9.0,False,False,101,4291
42101024900,off_peak,8,7,10,10.0,False,False,75,2614
42101024900,morning_rush,8,7,10,14.0,False,False,75,2614
42101024900,evening_rush,8,7,10,15.0,False,False,75,2614
42101024900,overnight,8,7,10,9.0,False,False,75,2614
42101025200,off_peak,5,4,10,10.0,False,False,73,8034
42101025200,morning_rush,5,4,10,14.0,False,False,73,8034
42101025200,evening_rush,5,4,10,15.0,False,False,73,8034
42101025200,overnight,5,4,10,9.0,False,False,73,8034
42101025400,off_peak,5,4,10,10.0,False,False,10,3784
42101025400,morning_rush,5,4,10,14.0,False,False,10,3784
42101025400,evening_rush,5,4,10,15.0,False,False,10,3784
42101025400,overnight,5,4,10,9.0,False,False,10,3784
42101001302,off_peak,5,4,10,10.0,False,False,11,4762
42101001302,morning_rush,5,4,10,14.0,False,False,11,4762
42101001302,evening_rush,5,4,10,15.0,False,False,11,4762
42101001302,overnight,5,4,10,9.0,False,False,11,4762
42101013701,off_peak,5,4,10,10.0,False,False,9,1753
42101013701,morning_rush,5,4,10,14.0,False,False,9,1753
42101013701,evening_rush,5,4,10,15.0,False,False,9,1753
42101013701,overnight,5,4,10,9.0,False,False,9,1753
42101001301,off_peak,5,4,10,10.0,False,False,4,1867
42101001301,morning_rush,5,4,10,14.0,False,False,4,1867
42101001301,evening_rush,5,4,10,15.0,False,False,4,1867
42101001301,overnight,5,4,10,9.0,False,False,4,1867
42101014600,off_peak,5,4,10,10.0,False,False,36,4745
42101014600,morning_rush,5,4,10,14.0,False,False,36,4745
42101014600,evening_rush,5,4,10,15.0,False,False,36,4745
42101014600,overnight,5,4,10,9.0,False,False,36,4745
42101039100,off_peak,5,4,10,10.0,False,False,68,3248
42101039100,morning_rush,5,4,10,14.0,False,False,68,3248
42101039100,evening_rush,5,4,10,15.0,False,False,68,3248
42101039100,overnight,5,4,10,9.0,False,False,68,3248
42101980902,off_peak,2,1,10,10.0,False,False,0,0
42101980902,morning_rush,2,1,10,14.0,False,False,0,0
42101980902,evening_rush,2,1,10,15.0,False,False,0,0
42101980902,overnight,2,1,10,9.0,False,False,0,0
42101980903,off_peak,2,1,10,10.0,False,False,2,0
42101980903,morning_rush,2,1,10,14.0,False,False,2,0
42101980903,evening_rush,2,1,10,15.0,False,False,2,0
42101980903,overnight,2,1,10,9.0,False,False,2,0
42101014500,off_peak,5,4,10,10.0,False,False,19,2218
42101014500,morning_rush,5,4,10,14.0,False,False,19,2218
42101014500,evening_rush,5,4,10,15.0,False,False,19,2218
42101014500,overnight,5,4,10,9.0,False,False,19,2218
42101031200,off_peak,5,4,10,10.0,False,False,25,5125
42101031200,morning_rush,5,4,10,14.0,False,False,25,5125
42101031200,evening_rush,5,4,10,15.0,False,False,25,5125
42101031200,overnight,5,4,10,9.0,False,False,25,5125
42101004202,off_peak,5,4,10,10.0,False,False,8,5522
42101004202,morning_rush,5,4,10,14.0,False,False,8,5522
42101004202,evening_rush,5,4,10,15.0,False,False,8,5522
42101004202,overnight,5,4,10,9.0,False,False,8,5522
42101007000,off_peak,8,7,10,10.0,False,False,76,3521
42101007000,morning_rush,8,7,10,14.0,False,False,76,3521
42101007000,evening_rush,8,7,10,15.0,False,False,76,3521
42101007000,overnight,8,7,10,9.0,False,False,76,3521
42101026400,off_peak,5,4,10,10.0,False,False,46,5674
42101026400,morning_rush,5,4,10,14.0,False,False,46,5674
42101026400,evening_rush,5,4,10,15.0,False,False,46,5674
42101026400,overnight,5,4,10,9.0,False,False,46,5674
42101026500,off_peak,8,7,10,10.0,False,False,51,5370
42101026500,morning_rush,8,7,10,14.0,False,False,51,5370
42101026500,evening_rush,8,7,10,15.0,False,False,51,5370
42101026500,overnight,8,7,10,9.0,False,False,51,5370
42101026200,off_peak,5,4,10,10.0,False,False,16,4013
42101026200,morning_rush,5,4,10,14.0,False,False,16,4013
42101026200,evening_rush,5,4,10,15.0,False,False,16,4013
42101026200,overnight,5,4,10,9.0,False,False,16,4013
42101026302,off_peak,8,7,10,10.0,False,False,69,4550
42101026302,morning_rush,8,7,10,14.0,False,False,69,4550
42101026302,evening_rush,8,7,10,15.0,False,False,69,4550
42101026302,overnight,8,7,10,9.0,False,False,69,4550
42101026600,off_peak,5,4,10,10.0,False,False,46,7060
42101026600,morning_rush,5,4,10,14.0,False,False,46,7060
42101026600,evening_rush,5,4,10,15.0,False,False,46,7060
42101026600,overnight,5,4,10,9.0,False,False,46,7060
42101026700,off_peak,8,7,10,10.0,False,False,97,7518
42101026700,morning_rush,8,7,10,14.0,False,False,97,7518
42101026700,evening_rush,8,7,10,15.0,False,False,97,7518
42101026700,overnight,8,7,10,9.0,False,False,97,7518
42101007101,off_peak,8,7,10,10.0,False,False,83,2317
42101007101,morning_rush,8,7,10,14.0,False,False,83,2317
42101007101,evening_rush,8,7,10,15.0,False,False,83,2317
42101007101,overnight,8,7,10,9.0,False,False,83,2317
42101002801,off_peak,5,4,10,10.0,False,False,12,4234
42101002801,morning_rush,5,4,10,14.0,False,False,12,4234
42101002801,evening_rush,5,4,10,15.0,False,False,12,4234
42101002801,overnight,5,4,10,9.0,False,False,12,4234
42101030200,off_peak,8,7,10,10.0,False,False,109,8013
42101030200,morning_rush,8,7,10,14.0,False,False,109,8013
42101030200,evening_rush,8,7,10,15.0,False,False,109,8013
42101030200,overnight,8,7,10,9.0,False,False,109,8013
42101027700,off_peak,8,7,10,10.0,False,False,92,5197
42101027700,morning_rush,8,7,10,14.0,False,False,92,5197
42101027700,evening_rush,8,7,10,15.0,False,False,92,5197
42101027700,overnight,8,7,10,9.0,False,False,92,5197
42101028000,off_peak,8,7,10,10.0,False,False,92,4212
42101028000,morning_rush,8,7,10,14.0,False,False,92,4212
42101028000,evening_rush,8,7,10,15.0,False,False,92,4212
42101028000,overnight,8,7,10,9.0,False,False,92,4212
42101029300,off_peak,8,7,10,10.0,False,False,63,3563
42101029300,morning_rush,8,7,10,14.0,False,False,63,3563
42101029300,evening_rush,8,7,10,15.0,False,False,63,3563
42101029300,overnight,8,7,10,9.0,False,False,63,3563
42101029400,off_peak,8,7,10,10.0,False,False,58,3841
42101029400,morning_rush,8,7,10,14.0,False,False,58,3841
42101029400,evening_rush,8,7,10,15.0,False,False,58,3841
42101029400,overnight,8,7,10,9.0,False,False,58,3841
42101030100,off_peak,8,7,10,10.0,False,False,90,6010
42101030100,morning_rush,8,7,10,14.0,False,False,90,6010
42101030100,evening_rush,8,7,10,15.0,False,False,90,6010
42101030100,overnight,8,7,10,9.0,False,False,90,6010
42101030600,off_peak,5,4,10,10.0,False,False,14,7192
42101030600,morning_rush,5,4,10,14.0,False,False,14,7192
42101030600,evening_rush,5,4,10,15.0,False,False,14,7192
42101030600,overnight,5,4,10,9.0,False,False,14,7192
42101031800,off_peak,5,4,10,10.0,False,False,31,4086
42101031800,morning_rush,5,4,10,14.0,False,False,31,4086
42101031800,evening_rush,5,4,10,15.0,False,False,31,4086
42101031800,overnight,5,4,10,9.0,False,False,31,4086
42101030700,off_peak,2,1,10,10.0,False,False,6,4387
42101030700,morning_rush,2,1,10,14.0,False,False,6,4387
42101030700,evening_rush,2,1,10,15.0,False,False,6,4387
42101030700,overnight,2,1,10,9.0,False,False,6,4387
42101030800,off_peak,2,1,10,10.0,False,False,10,5338
42101030800,morning_rush,2,1,10,14.0,False,False,10,5338
42101030800,evening_rush,2,1,10,15.0,False,False,10,5338
42101030800,overnight,2,1,10,9.0,False,False,10,5338
42101030900,off_peak,5,4,10,10.0,False,False,10,4459
42101030900,morning_rush,5,4,10,14.0,False,False,10,4459
42101030900,evening_rush,5,4,10,15.0,False,False,10,4459
42101030900,overnight,5,4,10,9.0,False,False,10,4459
42101031000,off_peak,5,4,10,10.0,False,False,18,7860
42101031000,morning_rush,5,4,10,14.0,False,False,18,7860
42101031000,evening_rush,5,4,10,15.0,False,False,18,7860
42101031000,overnight,5,4,10,9.0,False,False,18,7860
42101031300,off_peak,5,4,10,10.0,False,False,21,7227
42101031300,morning_rush,5,4,10,14.0,False,False,21,7227
42101031300,evening_rush,5,4,10,15.0,False,False,21,7227
42101031300,overnight,5,4,10,9.0,False,False,21,7227
42101031700,off_peak,5,4,10,10.0,False,False,19,6109
42101031700,morning_rush,5,4,10,14.0,False,False,19,6109
42101031700,evening_rush,5,4,10,15.0,False,False,19,6109
42101031700,overnight,5,4,10,9.0,False,False,19,6109
42101033800,off_peak,5,4,10,10.0,False,False,24,6526
42101033800,morning_rush,5,4,10,14.0,False,False,24,6526
42101033800,evening_rush,5,4,10,15.0,False,False,24,6526
42101033800,overnight,5,4,10,9.0,False,False,24,6526
42101033900,off_peak,2,1,10,10.0,False,False,5,3066
42101033900,morning_rush,2,1,10,14.0,False,False,5,3066
42101033900,evening_rush,2,1,10,15.0,False,False,5,3066
42101033900,overnight,2,1,10,9.0,False,False,5,3066
42101018001,off_peak,2,1,10,10.0,False,False,3,2251
42101018001,morning_rush,2,1,10,14.0,False,False,3,2251
42101018001,evening_rush,2,1,10,15.0,False,False,3,2251
42101018001,overnight,2,1,10,9.0,False,False,3,2251
42101011100,off_peak,5,4,10,10.0,False,False,105,4049
42101011100,morning_rush,5,4,10,14.0,False,False,105,4049
42101011100,evening_rush,5,4,10,15.0,False,False,105,4049
42101011100,overnight,5,4,10,9.0,False,False,105,4049
42101011300,off_peak,8,7,10,10.0,False,False,49,3822
42101011300,morning_rush,8,7,10,14.0,False,False,49,3822
42101011300,evening_rush,8,7,10,15.0,False,False,49,3822
42101011300,overnight,8,7,10,9.0,False,False,49,3822
42101011400,off_peak,5,4,10,10.0,False,False,68,6843
42101011400,morning_rush,5,4,10,14.0,False,False,68,6843
42101011400,evening_rush,5,4,10,15.0,False,False,68,6843
42101011400,overnight,5,4,10,9.0,False,False,68,6843
42101003002,off_peak,5,4,10,10.0,False,False,17,3171
42101003002,morning_rush,5,4,10,14.0,False,False,17,3171
42101003002,evening_rush,5,4,10,15.0,False,False,17,3171
42101003002,overnight,5,4,10,9.0,False,False,17,3171
42101013900,off_peak,5,4,10,10.0,False,False,49,2585
42101013900,morning_rush,5,4,10,14.0,False,False,49,2585
42101013900,evening_rush,5,4,10,15.0,False,False,49,2585
42101013900,overnight,5,4,10,9.0,False,False,49,2585
42101011500,off_peak,8,7,10,10.0,False,False,50,4881
